ID	Name	Bgd count	Result count	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006468	protein phosphorylation	172	21	12.2	3.22	3.53	5.34084178947e-06	4.44168767134e-05	7.47717850526e-05
GO:0016310	phosphorylation	189	22	11.6	3.07	3.37	6.34526810192e-06	4.44168767134e-05	8.88337534268e-05
GO:0036211	protein modification process	258	25	9.7	2.55	2.82	2.70849702571e-05	9.47973958999e-05	0.0003791895836
GO:0006464	cellular protein modification process	258	25	9.7	2.55	2.82	2.70849702571e-05	9.47973958999e-05	0.0003791895836
GO:0043412	macromolecule modification	279	25	9.0	2.36	2.59	8.97941313154e-05	0.000251423567683	0.00125711783842
GO:0006796	phosphate-containing compound metabolic process	323	26	8.0	2.12	2.32	0.000324195358236	0.000709665008338	0.00453873501531
GO:0006793	phosphorus metabolic process	325	26	8.0	2.11	2.31	0.000354832504169	0.000709665008338	0.00496765505836
GO:0015851	nucleobase transport	4	2	50.0	13.17	13.32	0.0181001354146	0.0316752369755	0.253401895804
GO:0006631	fatty acid metabolic process	29	4	13.8	3.63	3.7	0.0309100032313	0.046659375362	0.432740045238
GO:0044765	single-organism transport	380	22	5.8	1.53	1.6	0.0347001892853	0.046659375362	0.485802649995
GO:0032787	monocarboxylic acid metabolic process	46	5	10.9	2.86	2.92	0.0373233278164	0.046659375362	0.52252658943
GO:1902578	single-organism localization	386	22	5.7	1.5	1.58	0.0399937503103	0.046659375362	0.559912504344
GO:0008610	lipid biosynthetic process	65	6	9.2	2.43	2.48	0.0441989493959	0.0475988685802	0.618785291543
GO:0009072	aromatic amino acid family metabolic process	20	3	15.0	3.95	4.0	0.0497507126854	0.0497507126854	0.696509977596
