ID	Name	Bgd count	Result count	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006468	protein phosphorylation	172	36	20.9	2.61	2.79	9.28248958333e-07	9.28248958333e-06	9.28248958333e-06
GO:0016310	phosphorylation	189	36	19.0	2.38	2.53	6.25445324415e-06	3.12722662208e-05	6.25445324415e-05
GO:0006464	cellular protein modification process	258	41	15.9	1.98	2.11	6.49940277967e-05	0.000162485069492	0.000649940277967
GO:0036211	protein modification process	258	41	15.9	1.98	2.11	6.49940277967e-05	0.000162485069492	0.000649940277967
GO:0043412	macromolecule modification	279	42	15.1	1.88	1.99	0.000156553836478	0.000313107672956	0.00156553836478
GO:0006796	phosphate-containing compound metabolic process	323	40	12.4	1.55	1.61	0.00628536069012	0.00985651239935	0.0628536069012
GO:0006793	phosphorus metabolic process	325	40	12.3	1.54	1.6	0.00689955867955	0.00985651239935	0.0689955867955
GO:0006044	N-acetylglucosamine metabolic process	2	2	100.0	12.48	12.54	0.0297866549241	0.0328254375636	0.297866549241
GO:0019538	protein metabolic process	585	60	10.3	1.28	1.34	0.0327861992472	0.0328254375636	0.327861992472
GO:0070972	protein localization to endoplasmic reticulum	7	3	42.9	5.35	5.38	0.0328254375636	0.0328254375636	0.328254375636
