[Gene ID],[Genomic Location (Transcript)],[Product Description],,Start_loc,Stop_loc,LOCUS,STRAND,H_exp,S_exp,CONTIG,Start_TE,Stop_TE,Type,Subtype
CIMG_15119,GG704916:..(+),tRNA-Val,GG704916,2687575,2687668,CIMG_15119,+,32.737,39.5001,GG704916,2692127,2692163,DNA,TcMar
CIMG_15107,GG704915:..(-),tRNA-Asn,GG704915,3264900,3264973,CIMG_15107,-,0,0,GG704915,3265022,3265100,LTR,Copia
CIMG_15097,GG704915:..(-),tRNA-Ser,GG704915,1277755,1277854,CIMG_15097,-,2.7421,1.5579,GG704915,1277906,1278063,DNA,TcMar
CIMG_15082,GG704914:..(+),tRNA-OTHER,GG704914,141634,141716,CIMG_15082,+,0,1.5641,GG704914,140113,141623,LTR,Gypsy
CIMG_15046,GG704912:..(-),tRNA-Val,GG704912,1540609,1540682,CIMG_15046,-,3.7055,1.0526,GG704912,1543355,1544449,LTR,Copia
CIMG_15045,GG704912:..(+),tRNA-Leu,GG704912,1540212,1540338,CIMG_15045,+,1.6793,1.4311,GG704912,1543355,1544449,LTR,Copia
CIMG_15042,GG704912:..(-),tRNA-Met,GG704912,1009563,1009634,CIMG_15042,-,3.3853,2.1637,GG704912,1010041,1010181,DNA,TcMar
CIMG_13782,GG704916:3346887..3347497(-),hypothetical protein,GG704916,3346887,3347497,CIMG_13782,-,0,0,GG704916,3347039,3352316,DNA,hAT
CIMG_13770,GG704916:3025756..3027071(+),dihydroceramide delta(4)-desaturase,GG704916,3025734,3028553,CIMG_13770,+,7.1156,8.8642,GG704916,3033473,3033797,DNA,TcMar
CIMG_13738,GG704916:2057791..2060237(-),hypothetical protein,GG704916,2057675,2060237,CIMG_13738,-,0.1051,0.2128,GG704916,2060295,2060489,LTR,Copia
CIMG_13730,GG704916:1946464..1947035(+),hypothetical protein,GG704916,1946464,1947035,CIMG_13730,+,3.3066,2.9521,GG704916,1946610,1946939,LTR,Gypsy
CIMG_13727,GG704916:1797412..1797915(-),hypothetical protein,GG704916,1797412,1797915,CIMG_13727,-,10.8958,5.6745,GG704916,1800165,1800441,LTR,Gypsy
CIMG_13719,GG704916:1565730..1566396(+),hypothetical protein,GG704916,1565730,1566396,CIMG_13719,+,0,0.0588,GG704916,1569000,1569201,DNA,TcMar
